Language, Ratio
C-char[], 0.00782340485445072
perl-Bit_Vector, 48.082318157186
Go-BitVector, 0.0895062205653819
clisp-simple_bit_vector, 2.77604688383735
Scala-BitVector, 0.040731177763519
PHP-BitString, 0.186921623605575
julia-BitString, 1
Scala-BitString, 6.60328891572255
perl-BitString, 31.7575554454019
Haskell-Mutable Vector, 1.22261727387196
Python-BitString, 5.48112331909209
node-BitString, 5.27240079384778
perl-Bit_Vector, 48.8158046469216
Go-BitVector, 0.155153105646933
C-char[], 0.022227317515411
clisp-simple_bit_vector, 1.95177891405985
Scala-BitVector, 0.112444187601055
PHP-BitString, 0.517403729292362
CSharp-BitVector, 0.0426038893781958
perlsimple-BitString, 6.24206451242185
Java-BitSet, 0.031017509767505
lua-BitString, 2.45030917292048
Octave-Vector, 143.628471136241
C++-BitString, 0.797519826389725
clojure-transientvector, 30.6410667240346
perlsimple-BitString, 7.84621631134637
Java-BitSet, 0.0391608812326596
CSharp-BitVector, 0.0631601604783193
lua-BitString, 2.70223795595294
C++-BitString, 0.998909486410137
clojure-transientvector, 17.6830860433844
Octave-Vector, 173.206027444557
perl-BitString, 25.8412253153781
julia-BitString, 1
Scala-BitString, 4.41568766722141
Python-BitString, 5.38581142590713
node-BitString, 6.28327856814898
Haskell-Mutable Vector, 1.50796968157758
clisp-simple_bit_vector, 1.2653888812704
perl-Bit_Vector, 44.3360341686734
Go-BitVector, 0.189550825553221
C-char[], 0.0476533949151148
PHP-BitString, 0.644284303776629
Scala-BitVector, 0.134287842047558
lua-BitString, 0.561957695294165
Rust-BitVector, 0.0643904616579282
perl5.22-BitString, 0.150801607560601
CSharp-BitVector, 1.65237287815086e-07
perl5.20-BitString, 0.150020035189236
perlsimple-BitString, 0.146507090450287
Java-BitSet, 0.000329691350885929
Octave-Vector, 0.130674604322805
C++-BitString, 0.321085792936519
clojure-transientvector, 0.0694392737681351
Haskell-Mutable Vector, 4.46140677100733e-05
Python-BitString, 0.0684159482288771
clojure-persistentvector, 0.00723230720258183
node-BitString, 0.028032185868282
Scala-BitString, 0.0763029288705281
julia-BitString, 1
perl-BitString, 2.31901280160356
Scala-BitVector, 0.00326214648192108
PHP-BitString, 0.412973588112813
perl-Bit_Vector, 0.612750535986603
Go-BitVector, 0.101528564362389
C-char[], 0.012785510540172
Python-BitString, 1.08770474054557
clisp-simple_bit_vector, 0.0137697739845905
Haskell-Mutable Vector, 0.00366994696791335
node-BitString, 0.25878169745977
Python-BitString, 0.0950440893076011
clojure-persistentvector, 1.14917539885138e-05
Scala-BitString, 0.786704021447835
julia-BitString, 1
perl-BitString, 6.25510942358364
Scala-BitVector, 0.000146892756566666
PHP-BitString, 4.44526530489224
Go-BitVector, 0.896983658822152
perl-Bit_Vector, 0.989954894612505
C-char[], 0.12828741733376
clisp-simple_bit_vector, 9.88331333597694
Python-BitString, 13.0972582497351
lua-BitString, 21.6127746972989
perl5.22-BitString, 1.25529625605086
perl5.20-BitString, 1.27361236989258
CSharp-BitVector, 7.75403193521665e-07
Java-BitSet, 9.4502264210453e-10
perlsimple-BitString, 0.00504860173031997
Octave-Vector, 0.0106006582153837
clojure-transientvector, 1.17887212959577
C++-BitString, 3.33807440108607
clojure-transientvector, 0.155359511853674
C++-BitString, 0.563710504529233
Octave-Vector, 0.116374855741967
Java-BitSet, 0.000302639658169642
perlsimple-BitString, 0.131207779779914
perl5.20-BitString, 0.242018680499039
CSharp-BitVector, 2.4746286349595e-07
perl5.22-BitString, 0.241778146595721
lua-BitString, 0.984697792388632
Rust-BitVector, 0.111794281019228
clisp-simple_bit_vector, 0.0232615091686193
Python-BitString, 1.93638304893545
perl-Bit_Vector, 0.626227542659942
C-char[], 0.0217648537701958
Go-BitVector, 0.167016329721693
PHP-BitString, 0.731929233818692
Scala-BitVector, 0.00466858043581034
perl-BitString, 2.63544633620815
Scala-BitString, 0.130290956101725
julia-BitString, 1
node-BitString, 0.0446082788852702
clojure-persistentvector, 0.00209871472798298
Python-BitString, 0.073191101284743
Haskell-Mutable Vector, 7.02794532328497e-05
clojure-persistentvector, 5.62460910312124e-06
Python-BitString, 0.0928720028523899
node-BitString, 0.264447480533275
Haskell-Mutable Vector, 0.00567134393707449
perl-BitString, 6.01507804508042
Scala-BitString, 0.755380593986066
julia-BitString, 1
PHP-BitString, 4.38406934991268
Scala-BitVector, 6.16821371689482e-05
clisp-simple_bit_vector, 0.0636369346106695
perl-Bit_Vector, 0.939993624535305
C-char[], 0.124037893717864
Go-BitVector, 0.863356036678174
perl5.22-BitString, 1.22135207776946
lua-BitString, 0.00585460382457574
perlsimple-BitString, 0.0032602014583911
Java-BitSet, 2.86179313135353e-10
CSharp-BitVector, 7.46986411224727e-07
perl5.20-BitString, 1.21581173387307
C++-BitString, 3.18308489409234
clojure-transientvector, 1.16658181929648
Octave-Vector, 0.00864349715620364
clojure-persistentvector, 0.000128433277232992
Python-BitString, 0.0851830695770193
node-BitString, 0.229688305891886
Haskell-Mutable Vector, 0.00221587303706163
perl-BitString, 5.6097205617692
Scala-BitString, 0.692777837575692
julia-BitString, 1
PHP-BitString, 4.02679292329996
Scala-BitVector, 0.000227201013981768
Python-BitString, 10.6522712356669
clisp-simple_bit_vector, 4.62353478365853
perl-Bit_Vector, 0.887535295866267
Go-BitVector, 0.817837841936169
C-char[], 0.114130232234747
perl5.22-BitString, 1.12273367056181
lua-BitString, 12.8474011102944
Rust-BitVector, 0.591164722239003
perlsimple-BitString, 0.00754888378869759
Java-BitSet, 1.35066843046962e-05
CSharp-BitVector, 7.06975688104871e-07
perl5.20-BitString, 1.12853882468076
C++-BitString, 2.95526614696253
clojure-transientvector, 1.02005825502185
Octave-Vector, 0.0118560469519292
perl5.22-BitString, 0.0950472570346559
Rust-BitVector, 0.0358549121166762
lua-BitString, 0.278615587194504
perlsimple-BitString, 0.157808748672333
Java-BitSet, 0.00148427077926813
CSharp-BitVector, 1.22939521775508e-05
